Cleanes     IR Dist (cm)
0            50.0
2            50.0
4            50.0
6            50.0
8            50.0
10           50.0
12           50.0
14           50.0
16           50.0
18           50.0
20           50.0
22           27.3
24           25.3
26           25.9
28           24.9
30           23.3
32           24.2
34           25.5
36           24.8
38           24.1
40           50.0
42           50.0
44           50.0
46           50.0
48           50.0
50           50.0
52           50.0
54           50.0
56           50.0
58           50.0
60           50.0
62           50.0
64           50.0
66           50.0
68           50.0
70           50.0
72           50.0
74           50.0
76           50.0
78           50.0
80           50.0
82           50.0
84           50.0
86           50.0
88           50.0
90           50.0
92           50.0
94           50.0
96           50.0
98           50.0
100          50.0
102          50.0
104          50.0
106          50.0
108          50.0
110          50.0
112          50.0
114          50.0
116          50.0
118          50.0
120          50.0
122          50.0
124          50.0
126          50.0
128          41.3
130          43.3
132          45.7
134          41.9
136          38.7
138          40.2
140          50.0
142          50.0
144          50.0
146          50.0
148          50.0
150          50.0
152          50.0
154          50.0
156          50.0
158          50.0
160          50.0
162          50.0
164          50.0
166          50.0
168          50.0
170          50.0
172          50.0
174          50.0
176          50.0
178          50.0
180          50.0
